   287.000000       1.33299994    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
   95      0.4566     -0.0329      0.5574      0.5903
   96      0.4645     -0.0231      0.5680      0.5911
   97      0.4724     -0.0132      0.5787      0.5920
   98      0.4803     -0.0024      0.5896      0.5920
   99      0.4882      0.0084      0.6005      0.5920
  100      0.4961      0.0198      0.6114      0.5917
  101      0.5039      0.0316      0.6224      0.5909
  102      0.5118      0.0434      0.6335      0.5901
  103      0.5197      0.0562      0.6446      0.5884
  104      0.5276      0.0690      0.6558      0.5868
  105      0.5355      0.0824      0.6670      0.5847
  106      0.5434      0.0961      0.6783      0.5822
  107      0.5512      0.1099      0.6896      0.5797
  108      0.5591      0.1246      0.7010      0.5764
  109      0.5669      0.1393      0.7124      0.5731
  110      0.5747      0.1545      0.7238      0.5693
  111      0.5825      0.1701      0.7353      0.5652
  112      0.5903      0.1858      0.7468      0.5611
  113      0.5980      0.2022      0.7584      0.5563
  114      0.6058      0.2186      0.7700      0.5514
  115      0.6135      0.2354      0.7816      0.5462
  116      0.6211      0.2526      0.7933      0.5407
  117      0.6288      0.2697      0.8050      0.5352
  118      0.6364      0.2876      0.8168      0.5291
  119      0.6440      0.3055      0.8285      0.5230
  120      0.6515      0.3236      0.8403      0.5167
  121      0.6590      0.3421      0.8521      0.5100
  122      0.6665      0.3605      0.8639      0.5034
  123      0.6739      0.3795      0.8758      0.4963
  124      0.6813      0.3985      0.8877      0.4892
  125      0.6886      0.4175      0.8995      0.4820
  126      0.6959      0.4371      0.9115      0.4744
  127      0.7031      0.4565      0.9233      0.4668
  128      0.7103      0.4762      0.9352      0.4590
  129      0.7174      0.4961      0.9472      0.4510
  130      0.7245      0.5159      0.9590      0.4431
  131      0.7316      0.5361      0.9710      0.4349
  132      0.7385      0.5563      0.9829      0.4266
  133      0.7454      0.5763      0.9947      0.4184
  134      0.7523      0.5969      1.0067      0.4099
  135      0.7591      0.6172      1.0186      0.4014
  136      0.7658      0.6374      1.0304      0.3929
  137      0.7724      0.6580      1.0423      0.3843
  138      0.7790      0.6784      1.0540      0.3757
  139      0.7855      0.6986      1.0657      0.3671
  140      0.7920      0.7191      1.0775      0.3585
  141      0.7983      0.7393      1.0892      0.3499
  142      0.8046      0.7593      1.1007      0.3414
  143      0.8109      0.7795      1.1124      0.3329
  144      0.8170      0.7994      1.1239      0.3245
  145      0.8231      0.8190      1.1352      0.3162
  146      0.8291      0.8387      1.1467      0.3080
  147      0.8350      0.8581      1.1580      0.2999
  148      0.8408      0.8772      1.1691      0.2919
  149      0.8465      0.8962      1.1802      0.2840
  150      0.8522      0.9150      1.1912      0.2762
  151      0.8577      0.9335      1.2021      0.2686
  152      0.8632      0.9517      1.2128      0.2611
  153      0.8686      0.9698      1.2235      0.2538
  154      0.8739      0.9875      1.2340      0.2466
  155      0.8790      1.0049      1.2444      0.2395
  156      0.8841      1.0221      1.2546      0.2326
  157      0.8892      1.0390      1.2648      0.2258
  158      0.8941      1.0555      1.2747      0.2192
  159      0.8989      1.0718      1.2845      0.2127
  160      0.9036      1.0877      1.2941      0.2064
  161      0.9082      1.1034      1.3036      0.2002
  162      0.9127      1.1188      1.3129      0.1941
  163      0.9171      1.1338      1.3220      0.1882
  164      0.9214      1.1484      1.3309      0.1824
  165      0.9256      1.1629      1.3396      0.1767
  166      0.9297      1.1771      1.3481      0.1710
  167      0.9337      1.1909      1.3564      0.1655
  168      0.9375      1.2043      1.3645      0.1602
  169      0.9413      1.2173      1.3723      0.1550
  170      0.9450      1.2303      1.3802      0.1499
  171      0.9485      1.2428      1.3878      0.1450
  172      0.9519      1.2549      1.3952      0.1402
  173      0.9553      1.2667      1.4023      0.1356
  174      0.9585      1.2780      1.4092      0.1311
  175      0.9616      1.2890      1.4159      0.1269
  176      0.9645      1.2997      1.4224      0.1227
  177      0.9674      1.3100      1.4285      0.1186
  178      0.9701      1.3199      1.4340      0.1142
  179      0.9728      1.3294      1.4411      0.1117
  180      0.9753      1.3385      1.4454      0.1068
  181      0.9777      1.3473      1.4474      0.1001
  182      0.9799      1.3557      1.4487      0.0930
  183      0.9821      1.3637      1.4494      0.0857
  184      0.9841      1.3714      1.4498      0.0785
  185      0.9860      1.3785      1.4499      0.0714
  186      0.9878      1.3854      1.4497      0.0643
  187      0.9895      1.3919      1.4494      0.0575
  188      0.9911      1.3979      1.4489      0.0510
  189      0.9925      1.4035      1.4482      0.0448
  190      0.9938      1.4087      1.4474      0.0388
  191      0.9950      1.4134      1.4465      0.0331
  192      0.9960      1.4177      1.4455      0.0278
  193      0.9970      1.4215      1.4445      0.0229
  194      0.9978      1.4248      1.4433      0.0185
  195      0.9984      1.4276      1.4421      0.0145
  196      0.9990      1.4299      1.4408      0.0110
  197      0.9994      1.4317      1.4396      0.0080
  198      0.9998      1.4332      1.4382      0.0051
  199      0.9999      1.4345      1.4367      0.0022
  200      1.0000      1.4360      1.4360      0.0000
 GRID EXPANSION RATIO UP=    1.12157 DOWN =    1.05711
  AXIAL,TANGENTIAL AND RADIAL COORDINATES ON THE STREAM
  SURFACE BEFORE TRANSFORMING TO R-THETA COORDINATES 
 J, XGRID,YGRID,RGRID            1  -1.83077622E-02  -1.93192866E-02  0.316170633    
 J, XGRID,YGRID,RGRID            2  -1.62090454E-02  -1.72116850E-02  0.316130459    
 J, XGRID,YGRID,RGRID            3  -1.43379401E-02  -1.53325396E-02  0.316098779    
 J, XGRID,YGRID,RGRID            4  -1.26699768E-02  -1.36570875E-02  0.316075534    
 J, XGRID,YGRID,RGRID            5  -1.11832386E-02  -1.21632488E-02  0.316060156    
 J, XGRID,YGRID,RGRID            6  -9.85811464E-03  -1.08313374E-02  0.316051513    
 J, XGRID,YGRID,RGRID            7  -8.67707096E-03  -9.64380056E-03  0.316048533    
 J, XGRID,YGRID,RGRID            8  -7.62445992E-03  -8.58498923E-03  0.316049963    
 J, XGRID,YGRID,RGRID            9  -6.68631587E-03  -7.64094852E-03  0.316054910    
 J, XGRID,YGRID,RGRID           10  -5.85018937E-03  -6.79923873E-03  0.316062421    
 J, XGRID,YGRID,RGRID           11  -5.10497112E-03  -6.04876736E-03  0.316071808    
 J, XGRID,YGRID,RGRID           12  -4.44076909E-03  -5.37964422E-03  0.316082269    
 J, XGRID,YGRID,RGRID           13  -3.84876085E-03  -4.78305202E-03  0.316093475    
 J, XGRID,YGRID,RGRID           14  -3.32109048E-03  -4.25112806E-03  0.316104978    
 J, XGRID,YGRID,RGRID           15  -2.85075186E-03  -3.77686322E-03  0.316116512    
 J, XGRID,YGRID,RGRID           16  -2.43150815E-03  -3.35400668E-03  0.316127777    
 J, XGRID,YGRID,RGRID           17  -2.05780519E-03  -2.97698658E-03  0.316138625    
 J, XGRID,YGRID,RGRID           18  -1.72468077E-03  -2.64083431E-03  0.316149026    
 J, XGRID,YGRID,RGRID           19  -1.42772845E-03  -2.34111957E-03  0.316158831    
 J, XGRID,YGRID,RGRID           20  -1.16301095E-03  -2.07389309E-03  0.316167980    
 J, XGRID,YGRID,RGRID           21  -9.27033310E-04  -1.83563295E-03  0.316176564    
