NSTEPS = 5000

Density range:
0.16904597 1.8038849

=== MID-SPAN RESULTS ===
    J     Mach    Pstat(Pa)     Ptot(Pa)    Ttot(K)
  401   0.4427      61745.4      70403.9     517.62
  402   0.4390      61701.5      70207.8     517.36
  403   0.4359      61693.3      70079.3     517.21
  404   0.4330      61648.9      69916.4     516.98
  405   0.4307      61660.9      69843.3     516.90
  406   0.4282      61640.2      69720.5     516.70
  407   0.4265      61690.9      69720.4     516.74
  408   0.4244      61566.1      69499.6     516.36
  409   0.4242      61581.0      69523.0     516.42
  410   0.4229      61572.3      69465.4     516.34
  411   0.4215      61640.7      69488.2     516.36
  412   0.4218      61477.5      69322.0     516.06
  413   0.4163      61644.7      69274.9     515.81
  414   0.4186      61625.8      69344.7     515.64
  415   0.4283      62099.8      70403.1     518.06
  416   0.4368      62480.6      71343.8     520.61
  417   0.4343      62645.1      71370.6     520.94
  418   0.4215      62505.8      70571.6     519.11
  419   0.4086      62249.4      69666.0     516.75
  420   0.3962      62351.3      69259.2     515.32
  421   0.3894      62308.7      68941.9     513.84
  422   0.3866      62289.5      68806.4     513.23
  423   0.3864      62172.8      68670.0     512.32
  424   0.3911      62066.8      68741.6     512.40
  425   0.3878      62210.9      68756.7     512.30
  426   0.3869      62271.2      68783.4     512.21
  427   0.3874      62216.8      68735.6     512.06
  428   0.3867      62197.2      68679.3     511.89
  429   0.3862      62140.1      68591.6     511.68
  430   0.3857      62113.4      68538.4     511.56
  431   0.3848      62095.5      68482.9     511.40
  432   0.3841      62094.7      68455.6     511.27
  433   0.3832      62089.3      68414.3     511.14
  434   0.3827      62115.2      68423.0     511.01
