
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 110    126.189      127.258         407.169       -0.645       197808.3          628.8    0.3443    0.8709      708.45      127.596       39.214       -0.418     1.09665    12.17037
 111    124.841      126.753         428.823        4.550       200075.0          621.9    0.3717    0.9168      708.89      126.835       45.601        2.055     1.12103    12.15584
 112    125.846      126.937         428.305      -10.874       200199.6          621.9    0.3717    0.9161      708.80      127.402       45.358       -4.879     1.12167    12.23803
 113     95.809      110.138         421.203       -8.355       202634.9          624.0    0.3378    0.8923      706.79      110.457       48.278       -4.303     1.13142    12.34105
 114     92.969      108.574         421.308       -7.750       202951.7          624.2    0.3362    0.8918      706.97      108.856       48.775       -4.025     1.13274    12.35470
 115     89.934      106.893         421.592       -7.209       202729.3          624.1    0.3349    0.8918      706.85      107.143       49.357       -3.779     1.13175    12.37252
 116     86.444      104.948         422.239       -6.764       202900.9          624.2    0.3339    0.8924      707.09      105.175       50.113       -3.593     1.13253    12.37742
 117     82.478      102.728         423.133       -6.412       202598.4          623.9    0.3333    0.8937      707.11      102.938       51.030       -3.472     1.13122    12.36876
 118     78.620      100.562         424.300       -6.142       202660.2          623.9    0.3335    0.8954      707.49      100.761       52.001       -3.404     1.13152    12.36273
 119     74.372       98.171         425.793       -5.961       202333.1          623.7    0.3342    0.8980      707.75       98.365       53.129       -3.421     1.13009    12.34826
 120     70.609       96.045         427.649       -5.880       202336.5          623.7    0.3361    0.9014      708.38       96.242       54.230       -3.526     1.13014    12.34381
 121     66.310       93.605         429.839       -5.888       201884.0          623.3    0.3388    0.9056      708.87       93.817       55.486       -3.768     1.12817    12.32609
 122     62.534       91.450         432.314       -5.935       201680.8          623.1    0.3425    0.9106      709.63       91.687       56.655       -4.085     1.12737    12.31965
 123     58.122       88.922         435.002       -6.013       200996.0          622.6    0.3468    0.9162      710.20       89.198       57.959       -4.578     1.12442    12.30036
 124     54.594       86.874         437.833       -6.134       200635.1          622.3    0.3520    0.9222      711.04       87.208       59.066       -5.226     1.12296    12.30209
 125     50.645       84.548         440.868       -6.298       199828.7          621.7    0.3579    0.9289      711.74       84.980       60.245       -6.305     1.11949    12.29252
 126     48.024       82.915         444.153       -6.509       199367.3          621.2    0.3650    0.9362      712.76       83.502       61.124       -7.828     1.11764    12.30757
 127     45.038       80.906         447.625       -6.743       198352.5          620.5    0.3726    0.9442      713.56       81.817       62.051      -10.723     1.11327    12.30627
 128     44.274       79.660         451.011       -6.906       197649.2          619.8    0.3807    0.9522      714.49       81.386       62.486      -13.657     1.11045    12.33569
 129     45.687       77.969         455.252       -7.116       196334.3          618.8    0.3906    0.9621      715.51       82.183       62.477      -11.890     1.10473    12.37692
 130     50.354       77.342         460.731       -7.574       195482.2          618.1    0.4036    0.9747      717.39       84.816       61.848      -10.691     1.10116    12.46640
 131     54.540       76.725         463.093       -7.384       194066.2          617.0    0.4103    0.9812      717.60       87.178       61.255       -8.627     1.09498    12.55499
 132     59.443       76.607         458.202       -6.757       192916.7          616.8    0.4024    0.9722      715.60       89.943       60.173       -7.467     1.08875    12.65611
 133     87.421       90.591         445.771       -4.917       194401.5          618.3    0.3895    0.9508      713.33      105.726       54.807       -0.189     1.09409    12.51272
 134     98.312       96.827         434.866       -3.184       194577.3          618.0    0.3753    0.9316      709.61      111.869       51.264        2.264     1.09539    12.47327
 135     97.340       99.490         429.897       -2.587       195547.1          619.0    0.3666    0.9211      708.84      111.321       50.510        2.984     1.09929    12.39150
 136    102.111      104.199         427.144       -2.117       195165.5          618.7    0.3657    0.9176      708.07      114.012       48.962        3.692     1.09743    12.35522
 137    105.265      109.063         424.477       -1.658       194970.2          618.5    0.3642    0.9139      707.57      115.792       47.426        4.810     1.09644    12.29870
 138    112.937      115.548         423.060       -1.295       193826.0          617.5    0.3681    0.9147      706.92      120.120       44.964        5.700     1.09150    12.27709
 139    122.536      122.846         422.522       -1.086       193056.9          616.8    0.3750    0.9175      707.03      125.534       41.604        6.084     1.08818    12.24456
 140    137.427      132.123         419.727       -0.573       191922.6          615.8    0.3823    0.9175      706.08      133.934       37.098        5.871     1.08314    12.23348
 141    142.627      135.616         414.849        0.150       192059.4          616.1    0.3800    0.9090      704.68      136.868       34.221        5.095     1.08355    12.21699
 142    148.019      138.881         411.918        0.582       192404.2          616.4    0.3813    0.9048      704.29      139.910       32.537        4.523     1.08498    12.21199
 143    156.580      143.878         410.743        0.803       191563.1          615.7    0.3884    0.9061      703.85      144.739       31.138        3.946     1.08126    12.20198
