
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  62     90.408      104.351          91.430      -25.451       315563.0          698.4    0.5193    0.2783      710.50      107.411      -64.920      -13.204     1.57225     0.00000
  63     93.484      105.978         102.235      -26.102       312275.1          697.1    0.5049    0.2944      710.47      109.146      -63.075      -13.326     1.55837     0.00000
  64     95.686      107.141         113.613      -26.575       308780.5          695.7    0.4895    0.3113      710.49      110.388      -61.060      -13.414     1.54352     0.00000
  65     96.771      107.764         125.329      -26.602       304928.7          694.2    0.4731    0.3288      710.45      111.000      -58.914      -13.351     1.52710     0.00000
  66     95.871      107.243         137.450      -26.595       300855.1          692.6    0.4551    0.3462      710.38      110.492      -56.669      -13.415     1.50955     0.00000
  67     94.478      106.496         149.369      -26.340       296599.1          691.1    0.4369    0.3639      710.35      109.707      -54.304      -13.378     1.49102     0.00000
  68     91.505      104.921         161.077      -25.724       292113.8          689.5    0.4178    0.3811      710.25      108.030      -51.926      -13.282     1.47133     0.00000
  69     87.944      102.995         172.663      -25.139       287618.2          688.1    0.3983    0.3984      710.32      106.021      -49.427      -13.231     1.45125     0.00000
  70     83.850      100.817         183.993      -24.323       282583.1          686.5    0.3788    0.4157      710.21      103.711      -46.847      -13.097     1.42874     0.00000
  71     79.402       98.445         194.973      -23.452       277650.5          685.1    0.3591    0.4328      710.28      101.202      -44.210      -12.958     1.40634     0.00000
  72     75.458       96.364         205.632      -22.582       272303.2          683.6    0.3402    0.4500      710.25       98.977      -41.470      -12.770     1.38208     0.00000
  73     71.993       94.527         216.135      -21.852       266900.1          682.1    0.3219    0.4675      710.32       97.023      -38.609      -12.627     1.35742     0.00000
  74     69.676       93.382         226.250      -20.998       261234.0          680.6    0.3052    0.4852      710.40       95.716      -35.661      -12.317     1.33148     0.00000
  75     66.903       91.960         235.615      -20.185       255482.2          679.2    0.2891    0.5014      710.41       94.152      -32.929      -12.059     1.30499     0.00000
  76     64.542       90.744         243.425      -19.506       250048.4          678.0    0.2748    0.5150      710.47       92.819      -30.679      -11.841     1.27961     0.00000
  77     61.083       88.981         249.224      -18.411       244929.2          677.2    0.2611    0.5244      710.34       90.868      -29.267      -11.446     1.25556     0.00000
  78     56.492       86.548         253.544      -17.379       240874.6          676.9    0.2475    0.5306      710.52       88.278      -28.611      -11.150     1.23597     0.00000
  79     52.170       84.266         257.373      -16.352       236976.5          676.6    0.2351    0.5362      710.60       85.840      -28.268      -10.820     1.21729     0.00000
  80     48.155       82.159         261.363      -15.307       233253.2          676.2    0.2237    0.5423      710.73       83.576      -27.769      -10.428     1.19954     0.00000
  81     45.149       80.596         265.456      -14.428       229306.8          675.5    0.2146    0.5492      710.69       81.880      -26.860      -10.052     1.18105     0.00000
  82     42.585       79.272         269.027      -13.603       225512.9          674.9    0.2076    0.5554      710.67       80.434      -25.825       -9.662     1.16319     0.00000
  83     40.428       78.169         271.714      -12.823       222027.5          674.3    0.2032    0.5600      710.68       79.217      -24.984       -9.259     1.14659     0.00000
  84     38.200       77.023         273.686      -12.031       218934.6          673.9    0.2003    0.5633      710.71       77.960      -24.456       -8.837     1.13169     0.00000
  85     36.084       75.944         275.094      -11.191       216178.9          673.6    0.1986    0.5655      710.74       76.766      -24.239       -8.359     1.11826     0.00000
  86     33.726       74.710         276.029      -10.423       213715.9          673.3    0.1976    0.5668      710.74       75.436      -24.343       -7.930     1.10613     0.00000
  87     31.777       73.693         276.565       -9.742       211573.6          673.2    0.1977    0.5675      710.81       74.337      -24.685       -7.531     1.09539     0.00000
  88     29.885       72.702         276.696       -9.080       209543.2          673.0    0.1984    0.5674      710.74       73.269      -25.292       -7.127     1.08524     0.00000
  89     28.522       72.017         276.294       -8.339       208042.7          673.1    0.1995    0.5665      710.80       72.501      -26.153       -6.619     1.07737     0.00000
  90     26.599       71.001         275.538       -7.660       206835.4          673.2    0.1991    0.5646      710.72       71.415      -27.272       -6.156     1.07089     0.00000
  91     25.027       70.163         274.695       -7.157       206234.8          673.6    0.1980    0.5624      710.89       70.529      -28.416       -5.827     1.06702     0.00000
  92     23.127       69.148         273.777       -6.521       205471.2          673.9    0.1958    0.5600      710.75       69.457      -29.599       -5.388     1.06271     0.00000
  93     21.040       68.026         272.589       -5.853       205424.1          674.6    0.1925    0.5569      710.99       68.280      -30.779       -4.911     1.06132     0.00000
  94     18.022       66.369         271.362       -5.245       205120.2          675.1    0.1875    0.5533      710.90       66.577      -32.040       -4.517     1.05902     0.00000
  95     15.891       65.191         271.375       -4.858       205908.8          675.9    0.1803    0.5523      711.32       65.375      -32.689       -4.215     1.06183     0.00000
  96     11.298       62.675         269.156       -3.653       206480.5          676.7    0.1741    0.5462      711.11       62.784      -34.447       -3.318     1.06365     0.00000
  97     -4.013       54.094         259.530       -2.105       207939.4          678.4    0.1735    0.5229      710.37       54.147      -39.949       -2.512     1.06826     0.00000
  98    -18.390       46.000         245.669       -1.284       211003.4          681.1    0.1875    0.4921      710.35       46.037      -45.637       -2.091     1.07940     0.00000
  99    -28.147       40.523         239.173       -0.298       213356.8          682.7    0.1934    0.4768      710.57       40.533      -49.477       -0.638     1.08855     0.00000
 100    -26.749       41.319         242.270        0.290       213763.3          682.7    0.1850    0.4828      710.65       41.322      -50.379        0.339     1.09062     0.00000
 101    -23.132       43.360         247.894        0.299       212309.7          681.4    0.1737    0.4945      710.08       43.362      -50.061        0.374     1.08540     0.00000
 102    -21.244       44.424         252.911        0.445       211944.8          680.9    0.1635    0.5044      710.35       44.427      -49.531        0.593     1.08441     0.00000
 103    -19.991       45.131         256.921        0.426       210775.8          679.8    0.1555    0.5126      709.96       45.134      -48.873        0.567     1.08022     0.00000
 104    -19.196       45.578         260.096        0.585       210379.4          679.4    0.1491    0.5188      710.17       45.582      -48.118        0.787     1.07883     0.00000
 105    -20.196       45.015         262.861        0.504       209141.0          678.4    0.1429    0.5243      709.66       45.018      -47.735        0.686     1.07414     0.00000
 106    -18.473       45.985         265.435        0.618       209237.1          678.5    0.1394    0.5295      710.29       45.990      -46.209        0.823     1.07455     0.00000
 107    -20.066       45.088         267.394        0.482       208029.9          677.5    0.1349    0.5333      709.74       45.091      -45.861        0.639     1.06984     0.00000
 108    -17.810       46.362         268.014        0.433       209011.0          678.2    0.1352    0.5346      710.55       46.364      -45.064        0.548     1.07387     0.00000
 109    -24.945       42.336         267.478        0.534       207480.0          677.9    0.1301    0.5323      709.98       42.339      -48.347        0.749     1.06641     0.00000
 110    -28.367       40.407         270.614       -0.366       208981.7          681.1    0.1230    0.5365      713.81       40.409      -47.506       -0.602     1.06915     0.00000
 111    -26.968       41.020         268.420        3.828       208516.6          676.5    0.1256    0.5338      708.63       41.198      -49.871        5.308     1.07391     0.00000
 112    -21.867       44.076         278.662        0.094       209261.2          678.2    0.1151    0.5539      712.86       44.076      -41.234        0.123     1.07508     0.00000
 113    -33.245      -13.908         276.459        7.066       209544.6          676.3    0.1175    0.5517      711.34       37.657      -39.872        8.734     1.07945     0.00000
 114     15.753      -45.868         279.047        1.417       206691.9          666.4    0.1687    0.5688      703.13       65.297      -24.655        1.883     1.08085     0.00000
 115     34.717      -58.003         287.024        0.105       207924.7          665.2    0.1881    0.5900      704.90       75.995      -17.580       -0.573     1.08919     0.00000
 116     23.187      -52.187         288.955        0.260       207641.8          664.9    0.1788    0.5908      704.86       69.491      -14.987       -0.871     1.08819     0.00000
 117     12.461      -47.067         291.373        0.660       208765.7          664.9    0.1698    0.5928      705.18       63.441      -10.732       -0.131     1.09419     0.00000
 118      1.498      -41.031         295.124        0.349       209103.5          664.4    0.1618    0.5978      705.46       57.256       -7.458        0.132     1.09677     0.00000
 119     -9.869      -35.219         298.738        0.547       209531.6          664.1    0.1552    0.6027      705.99       50.843       -3.818        0.450     1.09947     0.00000
 120    -20.611      -29.163         301.916        0.515       209738.8          663.8    0.1513    0.6073      706.45       44.784       -0.343        0.534     1.10105     0.00000
 121    -29.842      -23.542         304.963        0.584       209861.1          663.5    0.1490    0.6119      706.89       39.577        2.633        1.470     1.10227     0.00000
 122    -35.902      -18.555         307.981        0.483       209812.2          663.0    0.1502    0.6172      707.29       36.158        4.815        1.267     1.10278     0.00000
 123    -39.734      -14.637         311.262        0.329       209715.9          662.5    0.1544    0.6233      707.84       33.997        6.667        0.669     1.10311     0.00000
 124    -42.561      -10.992         314.910        0.389       209431.4          661.8    0.1605    0.6305      708.30       32.402        8.256        0.501     1.10286     0.00000
 125    -45.558       -7.441         318.572        0.505       209223.0          661.1    0.1666    0.6379      708.85       30.711        9.829       -0.144     1.10290     0.00000
 126    -48.297       -3.469         322.015        0.561       208879.7          660.4    0.1727    0.6449      709.32       29.166       10.925        1.728     1.10228     0.00000
 127    -50.107        0.397         325.214        0.456       208535.1          659.8    0.1791    0.6515      709.86       28.145       11.777        0.583     1.10147     0.00000
 128    -50.703        4.157         328.353        0.158       208119.6          659.1    0.1858    0.6581      710.37       27.809       12.349       -0.814     1.10036     0.00000
 129    -50.579        7.409         331.781        0.114       207708.0          658.3    0.1930    0.6656      710.85       27.879       12.791        0.759     1.09949     0.00000
 130    -50.064       10.572         335.550       -0.076       207224.6          657.4    0.2005    0.6738      711.30       28.169       13.368        0.008     1.09851     0.00000
 131    -49.090       13.428         338.748       -0.464       206871.0          656.7    0.2070    0.6808      711.81       28.719       13.829       -2.928     1.09780     0.00000
 132    -47.391       15.852         341.123        0.716       206372.2          656.0    0.2122    0.6862      712.01       29.677       13.984        4.421     1.09634     0.00000
 133    -45.256       18.177         343.175        3.069       206096.6          655.4    0.2174    0.6909      712.28       30.882       13.767        9.311     1.09583     0.00000
 134    -42.682       21.400         345.279        4.737       205711.4          654.8    0.2237    0.6959      712.62       32.334       13.519       13.655     1.09479     0.00000
 135    -41.148       24.175         347.132        5.235       205346.7          654.4    0.2292    0.7000      713.13       33.199       13.475       13.837     1.09337     0.00000
 136    -38.428       27.371         348.449        5.198       204905.2          654.3    0.2342    0.7031      713.67       34.733       13.222       11.383     1.09119     0.00000
 137    -35.186       30.466         349.272        5.058       204430.3          654.3    0.2385    0.7051      714.14       36.562       12.929       10.125     1.08865     0.00000
 138    -32.245       33.089         349.983        4.910       203967.2          654.4    0.2424    0.7068      714.60       38.221       12.593        9.269     1.08609     0.00000
 139    -28.070       36.150         350.812        4.668       203480.4          654.5    0.2473    0.7090      715.19       40.577       12.183        8.779     1.08335     0.00000
 140    -22.873       39.591         351.559        5.195       202861.4          654.4    0.2526    0.7113      715.68       43.508       11.704        9.805     1.08007     0.00000
 141    -19.237       41.880         352.214        6.247       202331.4          654.4    0.2567    0.7131      716.11       45.559       11.207        9.980     1.07724     0.00000
 142    -16.252       43.884         352.830        6.830       201894.4          654.5    0.2607    0.7148      716.56       47.243       10.597       10.240     1.07483     0.00000
 143    -13.023       46.077         353.487        7.086       201393.2          654.5    0.2651    0.7167      717.05       49.064       10.303       10.525     1.07209     0.00000
 144     -9.932       48.059         353.955        7.427       200837.5          654.7    0.2692    0.7181      717.56       50.808       10.620       10.149     1.06891     0.00000
 145     -7.209       49.592         354.268        7.752       200307.8          654.8    0.2730    0.7191      718.01       52.344       11.193        8.969     1.06587     0.00000
 146     -4.244       51.225         354.725        8.049       199811.9          654.9    0.2771    0.7205      718.45       54.017       11.749        8.354     1.06313     0.00000
 147     -1.840       52.586         355.201        8.390       199265.3          654.9    0.2811    0.7220      718.83       55.373       12.245        8.153     1.06023     0.00000
 148      0.480       53.908         355.624        8.618       198781.6          654.9    0.2851    0.7233      719.21       56.682       12.699        7.963     1.05765     0.00000
 149      3.375       55.547         356.120        8.863       198241.7          654.8    0.2896    0.7250      719.50       58.315       13.084        7.840     1.05502     0.00000
 150      6.198       57.135         356.641        9.124       197756.2          654.6    0.2940    0.7268      719.75       59.907       13.483        7.788     1.05273     0.00000
 151      9.452       58.928         357.010        9.313       197245.0          654.4    0.2984    0.7285      719.92       61.743       13.795        7.682     1.05039     0.00000
 152     13.041       60.879         357.254        9.664       196763.8          654.1    0.3028    0.7300      720.01       63.767       14.023        7.740     1.04826     0.00000
 153     16.173       62.598         357.380        9.694       196317.2          653.8    0.3066    0.7312      720.00       65.534       14.216        7.567     1.04637     0.00000
 154     20.421       64.955         357.310        9.407       195932.8          653.5    0.3107    0.7324      720.01       67.931       14.279        7.075     1.04474     0.00000
 155     25.492       67.742         356.995        9.337       195399.7          653.1    0.3151    0.7333      719.85       70.791       14.162        6.712     1.04248     0.00000
 156     30.712       70.709         356.426        8.923       194999.0          652.8    0.3194    0.7337      719.68       73.736       13.925        6.136     1.04083     0.00000
 157     37.469       74.525         356.113        8.800       194477.6          652.3    0.3245    0.7352      719.47       77.547       13.640        5.741     1.03880     0.00000
 158     44.149       78.284         355.788        8.881       193965.2          651.8    0.3294    0.7365      719.21       81.316       13.218        5.477     1.03686     0.00000
 159     52.688       83.223         354.924        8.704       193406.5          651.3    0.3357    0.7375      718.91       86.133       12.388        5.016     1.03468     0.00000
 160     62.068       88.641         353.881        8.731       192634.2          650.5    0.3433    0.7388      718.44       91.424       11.398        4.680     1.03170     0.00000
 161     73.217       95.096         353.093        8.689       191889.2          649.8    0.3525    0.7412      718.16       97.713       10.332        4.267     1.02889     0.00000
 162     86.211      102.603         352.872        8.920       190683.3          648.6    0.3641    0.7457      717.84      105.043        9.248        4.003     1.02419     0.00000
 163    100.335      110.730         352.343        9.383       189447.8          647.5    0.3779    0.7504      717.73      113.011        7.925        3.809     1.01920     0.00000
 164    117.288      120.417         351.712       10.006       187707.1          646.0    0.3961    0.7569      717.52      122.574        6.426        3.580     1.01224     0.00000
 165    136.054      131.145         352.175       10.557       185554.6          643.9    0.4178    0.7671      717.53      133.160        5.203        3.316     1.00368     0.00000
 166    156.486      142.717         355.187       11.565       182826.7          641.2    0.4423    0.7834      717.93      144.686        4.558        3.196     0.99296     0.00000
 167    179.124      155.448         360.416       13.589       179645.2          638.1    0.4702    0.8054      719.06      157.456        4.331        3.366     0.98021     0.00000
 168    201.760      168.190         365.835       14.987       175920.2          634.2    0.5008    0.8299      720.02      170.226        4.288        3.410     0.96519     0.00000
 169    223.796      180.439         373.055       17.244       172331.3          630.5    0.5325    0.8573      721.97      182.656        4.498        3.634     0.95046     0.00000
 170    246.007      192.702         379.758       21.547       168503.2          626.0    0.5628    0.8848      723.15      195.186        4.529        4.278     0.93493     0.00000
 171    267.597      204.607         384.790       24.615       164481.5          621.7    0.5925    0.9105      724.15      207.365        4.487        4.638     0.91739     0.00000
 172    290.476      217.853         390.887       23.270       160809.5          614.3    0.6403    0.9474      725.33      220.271        4.019        4.042     0.90498     0.00000
 173    314.770      231.950         388.980       19.386       158295.4          604.2    0.7036    0.9856      724.86      233.975        1.672        2.881     0.90220     0.00000
 174    320.726      235.737         375.370       14.233       157490.4          603.0    0.7102    0.9691      720.04      237.335       -0.328        1.837     0.89985     0.00000
 175    336.600      244.945         366.913       11.587       155169.8          597.4    0.7040    0.9632      709.11      246.290       -0.808        1.311     0.89151     0.00000
