
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  77    111.853      116.616         283.796       27.504       218152.7          663.3    0.2932    0.6161      707.97      119.818       -1.738       12.889     1.13964     0.00000
  78    104.785      112.973         282.598       25.513       213642.5          664.1    0.2844    0.6103      707.95      115.821       -1.839       12.377     1.11637     0.00000
  79     96.677      108.714         279.331       23.535       211152.7          665.9    0.2739    0.6000      708.39      111.235       -2.892       11.895     1.10213     0.00000
  80     90.360      105.459         278.777       21.658       208845.5          667.0    0.2632    0.5959      708.82      107.662       -3.201       11.338     1.08948     0.00000
  81     86.717      103.646         281.912       20.219       205303.2          666.7    0.2546    0.6003      708.84      105.602       -1.775       10.820     1.07225     0.00000
  82     84.641      102.681         286.057       19.009       200952.5          665.7    0.2505    0.6075      708.62      104.428        0.530       10.301     1.05166     0.00000
  83     82.219      101.531         288.033       17.665       196883.4          664.9    0.2510    0.6107      708.42      103.058        1.851        9.705     1.03197     0.00000
  84     78.607       99.677         287.028       16.372       193867.3          665.0    0.2539    0.6077      708.45      101.015        1.626        9.168     1.01650     0.00000
  85     75.015       97.857         284.210       14.878       191581.9          665.4    0.2584    0.6012      708.55       98.983        0.479        8.489     1.00411     0.00000
  86     70.805       95.652         281.204       13.503       189611.5          665.8    0.2618    0.5942      708.52       96.603       -0.787        7.882     0.99328     0.00000
  87     68.228       94.341         278.993       12.330       187930.0          666.3    0.2652    0.5892      708.72       95.145       -1.895        7.300     0.98378     0.00000
  88     65.594       93.000         277.561       11.039       185874.0          666.3    0.2669    0.5858      708.55       93.655       -2.678        6.635     0.97292     0.00000
  89     63.803       92.098         276.690       10.014       184326.0          666.6    0.2678    0.5837      708.79       92.643       -3.287        6.095     0.96419     0.00000
  90     62.019       91.189         276.057        8.998       182488.1          666.6    0.2670    0.5821      708.59       91.634       -3.822        5.523     0.95445     0.00000
  91     60.194       90.262         275.399        7.820       181642.6          667.2    0.2637    0.5800      708.89       90.601       -4.254        4.853     0.94894     0.00000
  92     57.059       88.559         274.596        6.893       180676.0          667.6    0.2575    0.5771      708.69       88.828       -4.656        4.373     0.94324     0.00000
  93     54.403       87.131         273.409        5.806       180846.1          669.0    0.2492    0.5731      709.23       87.326       -5.012        3.731     0.94220     0.00000
  94     47.731       83.418         271.323        4.733       180792.5          670.0    0.2354    0.5658      708.89       83.553       -5.594        3.202     0.94060     0.00000
  95     41.996       80.186         269.047        4.386       182863.2          672.0    0.2207    0.5580      709.40       80.309       -5.874        3.027     0.94879     0.00000
  96     28.109       72.443         259.888        1.170       184438.4          674.7    0.2064    0.5343      709.05       72.455       -9.790        0.857     0.95343     0.00000
  97     -4.360       54.042         236.070       -1.744       186552.0          679.1    0.2107    0.4783      708.62       54.091      -19.209       -0.984     0.95789     0.00000
  98    -24.583       42.418         209.800       -0.893       189660.5          683.3    0.2400    0.4225      709.26       42.654      -26.917        0.943     0.96741     0.00000
  99    -34.070       37.152         198.183       -1.461       191172.3          685.4    0.2506    0.3977      709.39       37.288      -31.352       -5.032     0.97187     0.00000
 100    -33.361       37.594         202.285       -2.032       191921.4          686.2    0.2340    0.4052      709.71       37.689      -32.236       -3.893     0.97442     0.00000
 101    -28.618       40.313         210.839       -1.870       191274.9          685.5    0.2117    0.4226      709.38       40.372      -31.997       -2.863     0.97204     0.00000
 102    -26.576       41.453         218.896       -2.268       190866.7          685.0    0.1904    0.4383      709.43       41.527      -31.376       -3.240     0.97071     0.00000
 103    -22.477       43.782         225.919       -2.204       190052.7          684.2    0.1739    0.4528      709.28       43.845      -29.854       -2.923     0.96790     0.00000
 104    -19.555       45.418         231.690       -2.591       189421.8          683.5    0.1605    0.4645      709.33       45.497      -28.193       -3.317     0.96571     0.00000
 105    -16.736       47.028         236.139       -2.359       188588.5          682.7    0.1498    0.4738      709.17       47.092      -26.841       -2.902     0.96260     0.00000
 106    -16.542       47.119         239.399       -2.727       188187.3          682.4    0.1405    0.4801      709.22       47.201      -26.450       -3.393     0.96110     0.00000
 107    -19.604       45.399         242.200       -2.451       187392.4          681.5    0.1310    0.4850      708.72       45.469      -27.082       -3.200     0.95822     0.00000
 108    -23.569       43.173         244.234       -2.105       187435.1          681.5    0.1217    0.4879      708.84       43.227      -29.791       -2.841     0.95850     0.00000
 109    -24.216       42.619         243.823       -4.279       186944.8          681.3    0.1183    0.4870      708.40       42.861      -36.006       -6.993     0.95623     0.00000
 110    -41.421       30.685         245.394        2.949       186523.5          680.2    0.1034    0.4869      707.30       33.130      -40.572       11.156     0.95549     0.00000
 111    -78.247       10.578         243.113       -6.282       190372.4          684.9    0.0784    0.4755      710.74       12.303      -72.145      -27.049     0.96842     0.00000
 112    -76.511       12.438         296.268       -4.666       189369.5          678.3    0.0393    0.5822      716.62       13.285       48.399      -19.352     0.97270     0.00000
 113    -36.092       -2.486         296.706        3.385       189778.2          675.7    0.0943    0.5902      715.14       36.144       23.802        8.537     0.97867     0.00000
 114      3.468      -25.653         322.113        1.635       188464.2          664.8    0.1775    0.6513      712.85       58.518       25.463        0.629     0.98809     0.00000
 115     19.939      -36.713         336.878        2.102       188210.8          659.2    0.2226    0.6869      713.03       67.834       24.920        1.761     0.99532     0.00000
 116     19.371      -37.605         334.271        1.475       189300.4          656.2    0.2265    0.6839      709.76       67.513       21.871        0.301     1.00579     0.00000
 117     13.822      -35.218         325.646        1.489       189521.0          654.9    0.2169    0.6671      706.03       64.374       18.523       -0.885     1.00890     0.00000
 118     13.544      -35.598         317.720        2.000       189748.8          654.4    0.2126    0.6519      703.46       64.217       14.070       -1.098     1.01082     0.00000
 119     16.113      -37.610         311.703        2.374       189849.6          652.6    0.2156    0.6414      700.41       65.670        9.376       -0.612     1.01408     0.00000
 120     18.428      -39.437         306.234        2.578       190279.5          650.8    0.2215    0.6319      697.46       66.980        5.509        0.948     1.01925     0.00000
 121     21.898      -41.877         301.588        3.050       190511.5          649.5    0.2303    0.6245      695.25       68.942        3.415        1.282     1.02268     0.00000
 122     25.528      -44.508         301.860        3.362       190497.4          647.8    0.2443    0.6274      694.26       70.995        4.286        1.432     1.02530     0.00000
 123     26.646      -45.733         304.951        3.105       190397.0          646.2    0.2585    0.6355      694.05       71.627        6.425        1.249     1.02744     0.00000
 124     24.284      -44.912         308.225        2.955       190535.5          645.1    0.2691    0.6429      694.36       70.292        8.808        1.729     1.02987     0.00000
 125     20.419      -42.776         312.705        2.461       190382.8          644.0    0.2795    0.6522      694.94       68.106       11.331       -1.139     1.03081     0.00000
 126     16.962      -39.063         317.675        2.000       190381.3          643.3    0.2890    0.6617      695.99       66.150       13.465       -0.800     1.03201     0.00000
 127     13.604      -34.385         323.371        1.255       190092.7          642.4    0.2984    0.6725      697.07       64.251       15.424       -0.944     1.03191     0.00000
 128      8.055      -27.802         329.456        0.223       189915.4          641.5    0.3080    0.6837      698.37       61.113       17.523       -1.783     1.03229     0.00000
 129      0.460      -19.514         335.455       -1.066       189426.1          640.3    0.3165    0.6947      699.24       56.817       19.729       -3.161     1.03153     0.00000
 130     -8.154       -9.139         340.872       -2.564       189033.2          639.2    0.3243    0.7046      700.05       51.946       21.742       -5.918     1.03119     0.00000
 131    -13.785        0.817         342.968       -3.256       188335.5          637.7    0.3269    0.7085      699.29       48.761       22.913       -6.369     1.02971     0.00000
 132    -16.442        9.444         339.103       -3.173       187620.0          637.5    0.3201    0.7000      697.71       47.258       22.905       -5.069     1.02605     0.00000
 133      3.787       14.831         322.826       -3.474       188105.4          639.1    0.3134    0.6687      695.07       58.699       12.349       -3.343     1.02608     0.00000
 134     13.996       20.464         306.186       -3.537       187940.5          639.6    0.3101    0.6370      691.48       64.473        2.910       -2.935     1.02406     0.00000
 135     12.478       26.150         296.327       -3.813       187708.8          640.0    0.2976    0.6165      688.89       63.615       -1.412       -3.373     1.02222     0.00000
 136     10.696       29.431         286.900       -3.787       187919.6          640.2    0.2928    0.5970      686.53       62.607       -6.356       -3.338     1.02316     0.00000
 137      7.921       33.648         280.151       -4.035       187746.5          640.3    0.2904    0.5831      684.93       61.037      -11.317       -3.903     1.02219     0.00000
 138      7.094       38.783         275.574       -4.436       187302.8          640.0    0.2934    0.5744      683.79       60.570      -16.262       -5.066     1.02022     0.00000
 139      6.419       44.538         272.934       -4.729       186704.9          639.9    0.2976    0.5698      683.47       60.188      -21.300       -6.876     1.01698     0.00000
 140      8.962       51.214         270.372       -5.075       186089.5          639.8    0.3041    0.5663      683.13       61.626      -25.219       -8.812     1.01384     0.00000
 141     13.097       57.891         265.481       -5.202       185602.5          639.6    0.3077    0.5584      681.90       63.965      -27.399      -10.131     1.01152     0.00000
 142     14.658       61.355         260.027       -5.290       185667.2          639.8    0.3052    0.5480      680.56       64.847      -28.078      -10.198     1.01152     0.00000
 143     19.528       65.565         256.724       -5.497       185709.5          639.9    0.3066    0.5428      679.94       67.602      -27.649       -9.001     1.01163     0.00000
 144     26.661       70.487         254.257       -5.898       185210.5          639.5    0.3116    0.5404      679.23       71.636      -27.585       -8.699     1.00952     0.00000
 145     34.415       75.453         250.438       -5.716       185140.1          639.5    0.3140    0.5353      678.36       76.021      -27.647       -8.519     1.00927     0.00000
 146     39.302       78.445         245.005       -5.479       185090.3          639.5    0.3116    0.5264      676.87       78.785      -27.769       -7.179     1.00897     0.00000
 147     42.554       80.309         240.410       -5.733       185475.2          639.8    0.3102    0.5184      675.94       80.624      -27.517       -5.782     1.01065     0.00000
 148     47.704       83.231         236.195       -5.906       185359.1          639.7    0.3118    0.5124      674.81       83.537      -27.792       -5.284     1.01031     0.00000
 149     51.484       85.386         230.469       -5.776       185576.2          639.8    0.3111    0.5029      673.43       85.675      -28.463       -4.842     1.01136     0.00000
 150     53.161       86.345         224.304       -5.635       185739.9          639.8    0.3089    0.4923      671.80       86.624      -29.114       -4.496     1.01223     0.00000
 151     55.357       87.601         218.746       -5.548       186076.1          639.8    0.3094    0.4832      670.52       87.865      -29.801       -4.244     1.01401     0.00000
