
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 109    -11.502       46.586         247.837        0.400       217056.9          612.0    0.1771    0.5241      639.88       46.588      -55.277        0.499     1.26420     0.00000
 110     -9.860       47.444         248.402        0.852       217450.6          616.4    0.1766    0.5235      644.44       47.452      -54.425        1.032     1.25617     0.00000
 111     -5.102       49.927         248.922        1.732       217186.0          562.1    0.1826    0.5475      590.11       49.957      -53.846        1.986     1.34639     0.00000
 112     -3.794       50.622         251.834       -1.533       217402.0          569.7    0.1773    0.5502      598.39       50.646      -52.271       -1.734     1.32971     0.00000
 113    -52.815       24.828         257.361        0.371       219304.0          575.5    0.1400    0.5521      604.86       24.839      -68.855        0.587     1.32779     0.00000
 114    -55.144       23.594         241.221       -0.172       218736.0          586.8    0.1711    0.5127      612.66       23.613      -73.021       -1.329     1.29890     0.00000
 115    -52.861       23.597         232.887        0.834       219133.2          595.6    0.1881    0.4921      619.90       24.815      -72.703        1.806     1.28223     0.00000
 116    -43.183       20.970         231.449       -0.127       218708.3          599.9    0.1940    0.4887      624.07       29.910      -69.379       -2.529     1.27086     0.00000
 117    -31.625        8.422         235.493       -1.294       218696.7          602.8    0.1914    0.4978      628.07       35.994      -65.328       -6.436     1.26453     0.00000
 118    -10.428       -6.975         242.842       -1.695       218419.0          605.9    0.1911    0.5152      633.27       47.153      -55.255       -4.201     1.25650     0.00000
 119      5.281      -17.945         250.614       -1.176       218202.5          607.8    0.1938    0.5332      637.46       55.423      -45.118       -1.990     1.25136     0.00000
 120     10.098      -22.406         256.747       -0.735       218097.0          609.0    0.1934    0.5460      640.34       57.958      -38.972       -1.222     1.24834     0.00000
 121      8.003      -22.759         261.571       -0.518       218306.5          610.6    0.1885    0.5544      643.27       56.856      -34.716       -1.417     1.24603     0.00000
 122      2.627      -20.808         265.820       -0.342       218502.1          612.1    0.1822    0.5613      645.72       54.025      -30.228       -1.119     1.24424     0.00000
 123     -3.659      -18.002         269.412       -0.212       218733.3          613.2    0.1764    0.5669      647.73       50.716      -25.696       -1.224     1.24324     0.00000
 124    -10.712      -14.574         272.610       -0.039       218850.3          614.1    0.1715    0.5719      649.48       47.003      -20.852       -1.280     1.24196     0.00000
 125    -18.271      -10.740         275.574        0.134       218958.1          614.9    0.1679    0.5766      651.02       43.024      -15.599       -1.250     1.24098     0.00000
 126    -26.138       -6.451         278.231        0.278       218974.1          615.5    0.1655    0.5810      652.30       38.883      -10.364       -1.110     1.23988     0.00000
 127    -33.110       -2.111         280.527        0.274       218956.0          616.0    0.1647    0.5848      653.48       35.213       -6.147       -0.576     1.23869     0.00000
 128    -38.327        2.127         282.695        0.157       218869.2          616.4    0.1652    0.5887      654.49       32.466       -2.903       -1.525     1.23743     0.00000
 129    -41.445        6.036         284.989        0.145       218755.8          616.6    0.1672    0.5931      655.38       30.825       -0.712       -0.253     1.23637     0.00000
 130    -42.497        9.836         287.398        0.011       218583.1          616.7    0.1701    0.5979      656.23       30.271        0.463        2.565     1.23520     0.00000
 131    -40.823       13.368         289.381       -0.475       218455.7          616.9    0.1733    0.6020      657.01       31.152        0.272       -1.482     1.23420     0.00000
 132    -38.386       16.355         290.834       -0.219       218208.6          616.9    0.1763    0.6051      657.52       32.435       -0.428       -0.044     1.23279     0.00000
