
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1518
Total-Total PR            4.9700
Total-Static PR           5.6018
Energy Extraction           402.9360
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.40      78.08     -77.04     -77.27     -38.18    0.3297    0.8278      0.3582
    1      Mean      -3.88      72.47      44.21     -66.37     -16.29    0.6261    1.6469      0.4251
    1       Tip      -5.37      79.36     -83.19     -51.18      24.51    0.4686    0.3194      0.4672
    2       Hub     -53.87      73.33      -1.63     -69.74     -22.60    0.4450    1.3817      0.3989
    2      Mean     -20.02      64.32     -10.53     -59.84      -0.63    0.6937    1.1643      0.4587
    2       Tip      26.59      70.12     -50.75     -55.43      12.31    0.6834    0.8364      0.5251


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 112    126.962      119.438         398.651       -9.230       210285.0          606.8    0.3230    0.8640      682.19      119.794       39.671       -4.406     1.20753             12.368
 113    100.937      105.823         393.540       -7.011       212138.2          608.2    0.2949    0.8457      680.72      106.057       42.002       -3.749     1.21520             12.378
 114     98.297      104.467         393.319       -6.342       212517.0          608.5    0.2927    0.8445      680.82      104.664       42.359       -3.408     1.21682             12.390
 115     95.530      103.038         393.270       -5.716       212389.2          608.4    0.2907    0.8439      680.67      103.203       42.799       -3.081     1.21619             12.398
 116     92.321      101.369         393.500       -5.146       212655.5          608.6    0.2890    0.8436      680.83      101.510       43.411       -2.778     1.21736             12.414
 117     88.606       99.428         393.890       -4.635       212486.2          608.5    0.2872    0.8437      680.77       99.549       44.183       -2.503     1.21658             12.427
 118     84.847       97.459         394.399       -4.175       212679.1          608.6    0.2857    0.8440      680.98       97.565       45.021       -2.241     1.21743             12.447
 119     80.584       95.220         395.062       -3.775       212527.5          608.5    0.2844    0.8447      681.04       95.315       46.033       -2.007     1.21673             12.458
 120     76.658       93.155         395.916       -3.432       212704.0          608.6    0.2837    0.8458      681.38       93.242       47.063       -1.791     1.21752             12.475
 121     72.223       90.820         397.009       -3.157       212478.6          608.5    0.2835    0.8476      681.58       90.902       48.299       -1.620     1.21648             12.476
 122     68.218       88.708         398.327       -2.946       212500.9          608.5    0.2841    0.8499      681.99       88.787       49.523       -1.487     1.21662             12.484
 123     63.581       86.261         399.876       -2.799       212110.5          608.2    0.2851    0.8528      682.28       86.340       50.964       -1.419     1.21485             12.477
 124     59.597       84.153         401.626       -2.710       212031.3          608.2    0.2872    0.8562      682.82       84.237       52.296       -1.409     1.21454             12.485
 125     55.146       81.793         403.625       -2.674       211581.8          607.9    0.2900    0.8603      683.27       81.888       53.772       -1.496     1.21252             12.481
 126     51.621       79.914         405.870       -2.693       211452.3          607.7    0.2939    0.8650      684.00       80.027       55.024       -1.690     1.21203             12.495
 127     47.517       77.713         408.320       -2.752       210863.8          607.3    0.2985    0.8703      684.57       77.862       56.399       -2.131     1.20940             12.493
 128     44.502       76.072         410.619       -2.801       210549.7          607.1    0.3033    0.8754      685.31       76.270       57.447       -2.719     1.20798             12.511
 129     40.857       73.998         413.594       -2.857       209735.0          606.5    0.3098    0.8821      685.94       74.346       58.644       -4.555     1.20448             12.516
 130     42.116       72.717         417.901       -3.188       209316.0          605.9    0.3196    0.8919      687.10       75.011       58.585       -5.508     1.20329             12.564
 131     44.933       71.546         419.515       -3.157       208370.7          605.9    0.3239    0.8957      687.82       76.497       58.063       -5.334     1.19794             12.620
 132     49.880       70.480         416.671       -2.897       207773.4          603.3    0.3204    0.8925      684.36       79.109       56.743       -3.282     1.19971             12.700
 133     73.975       84.513         408.659       -1.583       207818.3          599.6    0.3170    0.8831      678.69       91.826       50.947        2.681     1.20761             12.571
 134     83.255       90.605         400.829       -0.171       207451.4          596.4    0.3085    0.8718      673.29       96.724       46.824        4.913     1.21344             12.545
 135     85.291       93.661         396.983        0.334       207927.5          594.8    0.3044    0.8662      670.63       97.799       44.353        5.650     1.22159             12.490
 136     91.655       98.265         395.404        0.553       207196.3          592.6    0.3078    0.8670      668.32      101.158       41.108        5.610     1.22335             12.477
 137     97.703      102.743         394.413        0.746       206868.8          590.6    0.3129    0.8686      666.50      104.351       37.298        5.266     1.22714             12.449
 138    107.444      108.391         393.852        0.964       205641.7          588.2    0.3226    0.8728      664.52      109.491       33.366        4.521     1.22582             12.455
 139    118.446      114.450         393.580        1.056       204924.9          588.3    0.3331    0.8753      665.15      115.299       31.072        3.622     1.22070             12.443
 140    132.636      122.073         391.624        1.391       203708.2          588.3    0.3419    0.8751      665.19      122.788       28.821        3.292     1.21141             12.449
 141    138.365      125.203         388.620        1.864       203604.6          587.6    0.3427    0.8709      663.63      125.812       27.910        3.064     1.21248             12.440
