Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
 194      9.970      102.480          65.802      -33.449       116940.3    0.5133      589.45      107.805      -63.641      -17.346     0.70207
 195      8.891      101.166          69.121      -34.053       117296.1    0.5054      590.88      106.748      -63.593      -17.791     0.70258
 196      6.419       98.436          72.948      -34.536       117233.8    0.4954      591.41      104.324      -63.653      -18.486     0.70147
 197      6.725       98.337          76.615      -35.704       118086.5    0.4879      593.11      104.624      -63.040      -19.032     0.70471
 198      4.956       96.125          79.898      -36.666       117654.2    0.4798      592.99      102.890      -62.994      -19.854     0.70217
 199      7.609       98.440          81.560      -37.888       118771.0    0.4783      594.83      105.491      -62.072      -19.957     0.70685
 200      8.655       98.508          82.799      -40.476       117561.1    0.4772      593.61      106.517      -61.738      -21.059     0.70113
 201     16.117      105.897          81.586      -41.660       118889.8    0.4860      595.38      113.831      -60.168      -20.377     0.70738
 202     25.969      111.040          81.523      -53.974       116710.4    0.4975      594.32      123.489      -58.315      -23.722     0.69686
 203     -5.183       71.686          89.708      -59.161       117947.5    0.4501      595.41       92.951      -64.605      -32.474     0.70027
 204    -26.613       57.428         100.145      -43.272       122449.9    0.4097      600.41       71.943      -68.608      -31.238     0.72033
 205    -25.800       59.166         104.417      -42.256       122062.8    0.4015      600.28       72.739      -67.500      -30.329     0.71825
 206    -21.557       60.408          98.140      -47.542       123331.5    0.4168      601.19       76.899      -66.882      -31.801     0.72362
 207    -17.109       66.018          87.676      -47.349       121247.3    0.4417      597.76       81.259      -66.918      -30.150     0.71467
 208    -18.311       64.079          78.770      -48.019       121274.7    0.4582      596.68       80.081      -68.232      -30.972     0.71522
 209    -19.423       64.329          73.451      -45.835       120781.6    0.4679      595.50       78.991      -69.100      -30.099     0.71320
 210    -24.215       60.528          71.700      -43.072       121034.5    0.4675      595.15       74.293      -70.429      -30.131     0.71459
 211    -29.234       58.134          70.444      -37.848       121126.6    0.4656      594.23       69.373      -71.684      -28.617     0.71574
 212    -29.007       60.788          68.541      -33.875       121666.1    0.4682      593.74       69.596      -71.755      -25.938     0.71951
 213    -23.103       67.354          68.401      -33.844       121754.8    0.4708      593.58       75.383      -70.344      -24.182     0.72078
 214    -19.005       71.857          71.845      -33.773       121968.1    0.4646      594.45       79.400      -69.029      -23.042     0.72158
 215    -16.030       75.364          77.130      -33.107       122468.4    0.4535      595.84       82.317      -67.719      -21.928     0.72343
 216    -14.981       77.801          81.236      -29.883       121762.2    0.4437      595.39       83.346      -66.870      -19.729     0.72016
 217    -28.652       66.718          48.476      -20.996       123000.4    0.4966      588.74       69.944      -72.689      -16.709     0.73187
 218    -29.325       64.837          40.500      -24.422       123672.0    0.5138      584.87       69.284      -73.398      -19.417     0.74032
 219      3.501       99.437          34.789      -20.180       121550.5    0.5475      584.55      101.464      -66.819      -11.248     0.73081
 220     -4.648       92.269          27.194      -14.968       122739.6    0.5544      584.58       93.475      -69.031       -9.097     0.73680
 221     -3.185       94.517          21.477       -8.622       121977.6    0.5671      583.27       94.909      -69.160       -5.189     0.73391
 222     -2.331       95.484          17.041       -7.088       121623.9    0.5769      582.56       95.747      -69.316       -4.236     0.73270
 223     -2.070       95.897          12.937       -4.479       121594.2    0.5855      582.25       96.002      -69.555       -2.669     0.73292
 224     -3.056       94.984           9.033       -3.146       121284.2    0.5932      581.57       95.036      -70.003       -1.893     0.73183
 225     -5.588       92.535           5.236       -1.843       121419.5    0.5996      581.38       92.554      -70.715       -1.134     0.73272
 226     -8.762       89.439           1.363       -0.649       121373.0    0.6061      580.94       89.442      -71.526       -0.405     0.73281
 227    -12.951       85.335          -2.662        0.085       121473.9    0.6126      580.60       85.335      -72.506        0.059     0.73367
 228    -17.764       80.611          -7.060        0.886       121503.7    0.6202      580.28       80.618      -73.575        0.663     0.73415
