STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
 112    134.852      123.769         413.121       -9.467       202357.4          601.4    0.3511    0.8993      682.40      124.130       42.520       -4.361     1.17236
 113    105.817      108.537         407.211       -7.285       204508.8          603.2    0.3199    0.8784      680.72      108.784       45.190       -3.808     1.18131
 114    103.053      107.109         407.186       -6.705       204869.4          603.4    0.3180    0.8775      680.89      107.323       45.623       -3.529     1.18285
 115    100.138      105.596         407.333       -6.172       204696.1          603.3    0.3165    0.8773      680.77      105.782       46.134       -3.267     1.18203
 116     96.737      103.819         407.782       -5.703       204923.5          603.5    0.3151    0.8775      680.98      103.984       46.820       -3.040     1.18304
 117     92.816      101.764         408.416       -5.302       204688.0          603.3    0.3140    0.8782      680.96      101.912       47.664       -2.853     1.18197
 118     88.924       99.719         409.218       -4.964       204821.7          603.4    0.3132    0.8791      681.24       99.855       48.566       -2.696     1.18258
 119     84.564       97.424         410.255       -4.696       204584.6          603.2    0.3128    0.8807      681.39       97.550       49.639       -2.592     1.18149
 120     80.649       95.360         411.552       -4.493       204683.7          603.3    0.3133    0.8829      681.86       95.481       50.703       -2.530     1.18196
 121     76.202       93.011         413.177       -4.371       204345.2          603.0    0.3145    0.8859      682.18       93.131       51.957       -2.557     1.18043
 122     72.257       90.921         415.103       -4.322       204263.2          602.9    0.3168    0.8896      682.79       91.046       53.164       -2.666     1.18011
 123     67.638       88.466         417.303       -4.333       203727.0          602.6    0.3196    0.8941      683.24       88.604       54.551       -2.902     1.17769
 124     63.823       86.427         419.692       -4.391       203517.6          602.4    0.3235    0.8990      683.98       86.588       55.769       -3.237     1.17681
 125     59.504       84.104         422.289       -4.489       202888.2          602.0    0.3280    0.9046      684.59       84.305       57.093       -3.791     1.17398
 126     56.338       82.371         425.052       -4.625       202601.9          601.7    0.3336    0.9107      685.47       82.632       58.143       -4.556     1.17280
 127     52.593       80.277         428.067       -4.805       201793.0          601.1    0.3399    0.9175      686.17       80.653       59.295       -6.035     1.16919
 128     50.269       78.846         430.965       -4.968       201287.9          600.7    0.3466    0.9242      686.98       79.424       60.091       -8.532     1.16714
 129     48.863       76.982         434.509       -5.167       200206.4          599.9    0.3547    0.9325      687.80       78.681       60.682       -9.915     1.16228
 130     52.349       76.042         439.327       -5.661       199564.7          599.4    0.3661    0.9435      689.49       80.523       60.233       -9.021     1.15941
 131     56.288       75.143         441.693       -5.702       198365.8          598.6    0.3725    0.9497      689.85       82.605       59.622       -8.163     1.15396
 132     60.952       74.640         437.740       -5.321       197452.0          598.5    0.3662    0.9423      688.35       85.070       58.551       -6.472     1.14886
 133     88.719       88.840         427.460       -3.762       198316.6          599.4    0.3575    0.9250      686.43       99.747       52.909        0.657     1.15177
 134     99.186       95.122         418.173       -2.204       198191.2          599.0    0.3458    0.9085      683.24      105.279       49.185        3.055     1.15175
 135     99.575       97.947         413.700       -1.673       198901.5          599.6    0.3387    0.8994      682.48      105.484       47.885        3.855     1.15475
 136    105.237      102.657         411.758       -1.355       198338.7          599.2    0.3398    0.8976      681.88      108.477       45.943        4.294     1.15209
 137    109.696      107.404         409.945       -1.017       198065.0          599.0    0.3406    0.8956      681.61      110.834       43.768        5.100     1.15075
 138    118.794      113.623         409.050       -0.733       196868.2          598.0    0.3467    0.8973      681.11      115.642       39.874        5.343     1.14541
 139    130.283      120.456         408.819       -0.595       196121.9          597.4    0.3566    0.9004      681.29      121.715       35.377        4.504     1.14211
 140    146.340      129.232         406.511       -0.145       194933.7          596.4    0.3661    0.9011      680.45      130.202       31.913        4.002     1.13669
 141    152.357      132.611         402.574        0.466       194965.8          596.5    0.3661    0.8946      679.33      133.382       30.345        3.483     1.13673
 142    158.290      135.840         400.380        0.800       195129.2          596.7    0.3688    0.8921      679.05      136.518       29.300        3.180     1.13742
 143    166.927      140.482         399.682        0.955       194251.0          596.0    0.3762    0.8943      678.74      141.083       28.393        2.871     1.13344
 144    177.471      146.101         398.896        1.128       193567.8          595.4    0.3846    0.8972      678.72      146.656       27.338        2.755     1.13031
 145    187.806      151.604         395.963        1.552       192828.5          594.9    0.3896    0.8960      677.84      152.118       25.933        2.798     1.12684
 146    191.196      153.415         391.492        2.110       193012.2          595.1    0.3872    0.8884      676.59      153.911       24.701        2.893     1.12756
 147    195.779      155.860         389.355        2.371       192991.4          595.1    0.3895    0.8863      676.21      156.333       23.897        2.849     1.12747
 148    205.071      160.787         387.597        2.610       192058.3          594.3    0.3963    0.8879      675.70      161.244       22.846        2.889     1.12312
 149    211.686      164.297         383.486        3.091       191726.0          594.1    0.3978    0.8833      674.56      164.740       21.565        2.993     1.12145
 150    214.708      165.896         379.282        3.543       191808.3          594.2    0.3964    0.8769      673.39      166.338       20.436        3.112     1.12185
 151    221.272      169.363         376.447        3.869       191459.3          593.9    0.4005    0.8753      672.84      169.807       19.278        3.199     1.12017
 152    229.830      173.879         370.706        4.490       190872.7          593.6    0.4034    0.8695      671.31      174.330       17.445        3.380     1.11717
 153    223.365      170.457         362.359        5.244       191970.6          594.9    0.3890    0.8490      668.83      170.913       15.869        3.551     1.12172
 154    217.946      167.594         360.965        5.261       193035.2          595.5    0.3831    0.8436      668.70      168.049       15.785        3.581     1.12691
 155    232.557      175.301         361.411        5.223       191222.3          594.0    0.4003    0.8539      669.16      175.772       14.624        3.622     1.11848
 156    249.278      184.119         355.926        5.801       188876.0          592.0    0.4145    0.8559      667.31      184.609       12.306        3.809     1.10752
 157    253.651      186.410         347.660        6.516       189011.8          592.1    0.4134    0.8438      665.25      186.921       10.138        4.004     1.10807
 158    256.269      187.775         340.277        7.083       189119.2          592.3    0.4121    0.8323      663.32      188.305        8.118        4.140     1.10850
 159    261.158      190.347         333.421        7.558       188896.2          592.1    0.4144    0.8238      661.60      190.888        6.195        4.238     1.10746
 160    266.057      192.921         325.517        8.061       188366.3          591.7    0.4170    0.8141      659.47      193.478        4.016        4.361     1.10484
 161    269.276      194.607         316.936        8.553       188217.2          591.7    0.4183    0.8019      657.26      195.179        1.665        4.463     1.10409
 162    272.309      196.203         307.804        8.992       188020.6          591.6    0.4200    0.7888      654.93      196.783       -0.771        4.519     1.10309
 163    273.371      196.758         298.333        9.371       187758.3          591.5    0.4205    0.7740      652.34      197.344       -3.288        4.566     1.10170
 164    277.209      198.789         289.200        9.644       187484.2          591.3    0.4253    0.7621      650.20      199.372       -5.757        4.561     1.10046
 165    282.817      201.758         278.020        9.939       186242.1          590.3    0.4336    0.7498      647.14      202.336       -8.561        4.542     1.09450
 166    285.588      203.242         265.761       10.091       185372.3          589.7    0.4402    0.7340      643.91      203.801      -11.529        4.476     1.09037
 167    286.941      203.975         253.214       10.144       184551.4          589.1    0.4468    0.7169      640.63      204.516      -14.547        4.402     1.08647
 168    287.206      204.121         239.945       10.257       183539.8          588.4    0.4542    0.6983      637.11      204.656      -17.655        4.362     1.08158
 169    286.973      204.016         226.910       10.229       182577.9          587.8    0.4625    0.6801      633.81      204.533      -20.627        4.269     1.07693
 170    285.880      203.466         213.492       10.067       181328.8          586.9    0.4719    0.6614      630.28      203.955      -23.620        4.134     1.07090
 171    283.605      202.299         200.225        9.770       180091.8          586.1    0.4816    0.6422      626.84      202.753      -26.549        3.962     1.06492
 172    281.254      201.096         187.464        9.377       178770.2          585.2    0.4921    0.6240      623.51      201.510      -29.278        3.761     1.05863
 173    279.780      200.355         174.342        8.955       177247.8          584.1    0.5053    0.6071      620.20      200.731      -31.953        3.559     1.05143
 174    278.436      199.683         160.446        8.478       175227.1          582.5    0.5211    0.5905      616.62      200.021      -34.594        3.336     1.04173
 175    275.150      197.987         146.623        7.860       173061.3          581.0    0.5365    0.5730      612.94      198.284      -37.193        3.090     1.03125
 176    271.093      195.882         133.632        7.150       171102.5          579.6    0.5511    0.5556      609.57      196.140      -39.636        2.833     1.02180
 177    267.676      194.112         120.810        6.518       169021.5          578.1    0.5670    0.5392      606.27      194.334      -41.914        2.590     1.01184
 178    265.161      192.815         107.532        5.901       166606.0          576.3    0.5855    0.5244      602.87      193.004      -44.076        2.348     1.00026
 179    262.854      191.624          93.888        5.242       163846.6          574.2    0.6059    0.5107      599.35      191.785      -46.149        2.100     0.98698
 180    260.226      190.260          80.467        4.631       160965.7          572.1    0.6265    0.4977      595.88      190.396      -48.127        1.872     0.97304
 181    257.337      188.754          68.063        4.055       158137.0          570.0    0.6459    0.4853      592.60      188.869      -49.908        1.660     0.95937
 182    253.881      186.944          57.185        3.563       155554.9          568.2    0.6626    0.4732      589.67      187.042      -51.508        1.486     0.94692
 183    249.458      184.617          47.930        3.249       153343.0          566.9    0.6758    0.4605      587.17      184.704      -52.986        1.377     0.93626
 184    244.517      182.004          40.348        3.376       151504.9          566.0    0.6858    0.4480      585.26      182.093      -54.296        1.439     0.92727
 185    239.627      179.406          33.824        3.638       149878.1          565.5    0.6941    0.4362      583.71      179.508      -55.468        1.569     0.91920
 186    235.544      177.252          27.545        3.515       148206.8          564.7    0.7028    0.4263      582.11      177.351      -56.509        1.524     0.91105
 187    232.372      175.589          21.440        3.165       146440.5          563.7    0.7121    0.4185      580.48      175.674      -57.425        1.354     0.90252
 188    229.752      174.214          15.556        2.773       144614.3          562.5    0.7217    0.4125      578.85      174.289      -58.264        1.151     0.89369
 189    227.698      173.135          10.027        2.379       142786.5          561.3    0.7312    0.4081      577.30      173.204      -59.011        0.956     0.88487
