Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
 142    148.126      138.942         411.924        0.608       192369.0          616.4    0.3814    0.9048      704.29      139.973       32.514        4.525     1.08479
 143    156.688      143.940         410.748        0.828       191527.5          615.7    0.3886    0.9062      703.85      144.804       31.119        3.951     1.08107
 144    167.363      150.040         409.583        1.064       190858.0          615.1    0.3972    0.9088      703.78      150.825       29.723        3.709     1.07806
 145    177.892      156.043         406.051        1.571       190138.8          614.5    0.4022    0.9067      702.72      156.765       28.016        3.647     1.07476
 146    181.027      157.842         400.791        2.226       190469.5          614.9    0.3986    0.8975      701.28      158.534       26.558        3.693     1.07606
 147    185.422      160.361         398.094        2.565       190552.2          615.0    0.4002    0.8943      700.77      161.013       25.572        3.586     1.07643
 148    194.810      165.678         396.002        2.865       189653.6          614.2    0.4073    0.8956      700.19      166.309       24.388        3.602     1.07235
 149    201.533      169.490         391.407        3.423       189337.5          614.0    0.4087    0.8905      698.91      170.102       22.990        3.675     1.07078
 150    204.200      170.998         386.602        3.955       189579.2          614.2    0.4063    0.8828      697.59      171.606       21.758        3.788     1.07187
 151    210.680      174.653         383.324        4.348       189295.6          614.0    0.4101    0.8806      696.96      175.262       20.490        3.858     1.07052
 152    219.021      179.350         377.136        5.039       188791.4          613.7    0.4128    0.8742      695.30      179.967       18.580        4.033     1.06801
 153    211.862      175.311         367.936        5.876       190074.2          615.3    0.3963    0.8514      692.56      175.928       16.920        4.187     1.07318
 154    206.082      172.052         366.066        5.953       191311.1          616.2    0.3892    0.8447      692.33      172.668       16.751        4.223     1.07898
 155    220.681      180.272         366.499        5.943       189497.1          614.5    0.4072    0.8555      692.80      180.903       15.533        4.255     1.07089
 156    237.505      189.743         360.832        6.554       187079.5          612.2    0.4223    0.8582      690.90      190.394       13.162        4.430     1.05992
 157    241.747      192.114         352.045        7.325       187234.0          612.5    0.4209    0.8456      688.68      192.787       10.932        4.613     1.06052
 158    243.541      193.108         344.048        7.936       187537.8          612.8    0.4182    0.8325      686.60      193.799        8.846        4.738     1.06182
 159    247.879      195.546         336.732        8.444       187420.2          612.7    0.4198    0.8232      684.75      196.246        6.867        4.821     1.06130
 160    252.330      198.042         328.385        8.974       186976.2          612.4    0.4219    0.8128      682.50      198.757        4.636        4.934     1.05913
 161    255.106      199.594         319.337        9.494       186907.4          612.4    0.4225    0.7999      680.17      200.323        2.231        5.022     1.05874
 162    257.568      200.979         309.735        9.960       186834.2          612.5    0.4235    0.7859      677.72      201.712       -0.264        5.065     1.05834
 163    258.219      201.344         299.815       10.366       186675.0          612.5    0.4233    0.7703      675.00      202.079       -2.838        5.096     1.05749
 164    261.678      203.300         290.275       10.665       186487.1          612.3    0.4277    0.7579      672.75      204.031       -5.365        5.078     1.05672
 165    266.877      206.241         278.690       10.993       185316.8          611.4    0.4358    0.7452      669.57      206.963       -8.214        5.051     1.05132
 166    269.445      207.713         266.002       11.154       184492.2          610.7    0.4422    0.7291      666.24      208.412      -11.236        4.975     1.04752
 167    270.659      208.420         252.989       11.193       183710.9          610.1    0.4487    0.7117      662.85      209.097      -14.310        4.887     1.04392
 168    270.793      208.504         239.319       11.307       182732.5          609.5    0.4559    0.6929      659.21      209.172      -17.453        4.833     1.03935
 169    270.564      208.399         225.907       11.275       181785.7          608.8    0.4643    0.6747      655.81      209.043      -20.458        4.722     1.03496
 170    269.591      207.885         212.083       11.110       180554.6          608.0    0.4738    0.6560      652.21      208.495      -23.483        4.574     1.02921
 171    267.499      206.747         198.368       10.815       179312.2          607.1    0.4836    0.6369      648.68      207.314      -26.445        4.390     1.02339
 172    265.317      205.565         185.149       10.414       177957.4          606.2    0.4944    0.6188      645.24      206.083      -29.208        4.174     1.01714
 173    264.046      204.895         171.562        9.983       176393.7          605.0    0.5081    0.6022      641.84      205.367      -31.909        3.958     1.00997
 174    262.964      204.334         157.130        9.482       174328.2          603.4    0.5245    0.5860      638.15      204.756      -34.577        3.718     1.00037
 175    259.992      202.705         142.758        8.856       172092.7          601.7    0.5404    0.5689      634.35      203.079      -37.199        3.464     0.98990
 176    256.340      200.689         129.273        8.150       170022.8          600.1    0.5557    0.5520      630.82      201.019      -39.653        3.205     0.98024
 177    253.463      199.110         115.922        7.457       167826.1          598.5    0.5724    0.5365      627.38      199.396      -41.932        2.939     0.97009
 178    251.529      198.058         102.003        6.809       165294.7          596.5    0.5920    0.5227      623.83      198.305      -44.097        2.683     0.95838
 179    249.875      197.160          87.549        6.153       162352.7          594.1    0.6139    0.5104      620.09      197.372      -46.176        2.427     0.94471
 180    248.105      196.191          73.086        5.428       159183.7          591.5    0.6367    0.4991      616.32      196.374      -48.160        2.158     0.92988
 181    246.387      195.249          59.361        4.584       155946.7          588.9    0.6591    0.4890      612.67      195.404      -49.945        1.857     0.91472
 182    244.270      194.075          47.018        3.719       152894.8          586.6    0.6793    0.4793      609.35      194.210      -51.545        1.555     0.90044
 183    241.014      192.252          36.574        2.970       150234.2          584.7    0.6954    0.4689      606.50      192.373      -53.016        1.285     0.88797
 184    236.715      189.841          28.386        2.636       148054.0          583.5    0.7068    0.4576      604.30      189.949      -54.314        1.137     0.87768
 185    231.893      187.131          21.634        2.508       146273.0          582.8    0.7152    0.4462      602.55      187.228      -55.488        1.059     0.86925
